	Topic	TopicPassageCount	TopicVotesSum	MeanPassageVotes
3351	knowledge	361	124681	345.37673130193906
3355	labor	212	16267	76.73113207547169
3356	labor day	46	2611	56.76086956521739
3357	labor pains	25	2096	83.84
3363	lack of rain	29	1691	58.310344827586206
3364	lake of fire	370	76505	206.77027027027026
3365	lamb	46	2803	60.93478260869565
3366	lambs book of life	104	6935	66.6826923076923
3368	lampstand	38	2130	56.05263157894737
3373	lashing out in anger	36	2328	64.66666666666667
3374	last days	192	17372	90.47916666666667
3375	last supper	15	864	57.6
3377	laugh	22	1597	72.5909090909091
3378	laughing	21	1724	82.0952380952381
3393	laying on of hands	268	104177	388.72014925373134
3395	laziness	150	23180	154.53333333333333
3402	leadership	136	12385	91.06617647058823
3412	learning	289	50866	176.00692041522493
3421	leaving parents	236	75388	319.4406779661017
3434	lending money	125	8910	71.28
3448	letting go	166	32706	197.02409638554218
3449	letting go of hurt	38	3521	92.65789473684211
3452	leviathan	265	175464	662.1283018867924
3455	liar	251	17738	70.66932270916335
3463	life	899	533231	593.1379310344828
3464	life after death	227	17098	75.3215859030837
3471	lifting hands	220	21463	97.55909090909091
3473	light	209	33167	158.6937799043062
3480	lions	231	161026	697.0822510822511
3486	listening to god	221	18906	85.5475113122172
3488	listening to others	200	62770	313.85
3496	living a christian life	180	14639	81.32777777777778
3501	living for god	310	82645	266.5967741935484
3505	living in fear	28	2344	83.71428571428571
3509	living life to the fullest	120	11406	95.05
3512	living together before marriage	100	5854	58.54
3515	living together unmarried	168	11437	68.07738095238095
3516	living water	187	13923	74.45454545454545
3525	loneliness	266	180555	678.7781954887218
3528	long distance relationships	44	3328	75.63636363636364
3532	longevity	205	66718	325.45365853658535
3537	looking for love	160	10414	65.0875
3542	lords prayer	189	11923	63.08465608465608
3543	lords supper	136	8834	64.95588235294117
3548	losing a loved one	281	81665	290.62277580071174
3553	losing weight	31	1770	57.096774193548384
3556	loss of a child	182	17687	97.18131868131869
3569	love	423	114164	269.89125295508273
3571	love and forgiveness	140	10868	77.62857142857143
3583	love is	257	45615	177.49027237354085
3586	love of god	194	11594	59.76288659793814
3587	love of money	191	15433	80.80104712041884
3590	love one another	152	12510	82.30263157894737
3607	loving difficult people	158	9549	60.436708860759495
3608	loving each other	418	251861	602.5382775119617
3611	loving god	270	55662	206.15555555555557
3614	loving others	284	92641	326.2007042253521
3623	loving your enemies	139	13443	96.71223021582733
3626	loving your husband	21	2212	105.33333333333333
3627	loving your neighbor	143	11278	78.86713286713287
3632	loving your wife	143	8355	58.42657342657343
3633	loving yourself	128	10098	78.890625
3634	low self esteem	60	3578	59.63333333333333
3638	loyalty	329	47220	143.5258358662614
3639	lucifer	126	8821	70.0079365079365
3643	lukewarm christians	112	10605	94.6875
3644	lust	769	679548	883.6775032509753
3648	lying	283	43787	154.7243816254417
3653	magic	122	8320	68.19672131147541
3654	magic in movies	33	2069	62.696969696969695
3655	magician	29	2213	76.3103448275862
3656	magicians	34	2399	70.55882352941177
3657	makeovers	26	1826	70.23076923076923
3658	makeup	28	1712	61.142857142857146
3661	making choices	128	12243	95.6484375
3662	making decisions	32	2322	72.5625
3665	making friends	91	8729	95.92307692307692
3669	making mistakes	122	12171	99.76229508196721
3673	making plans	63	3607	57.25396825396825
3675	making the right decision	68	4913	72.25
3676	making the world better	430	93496	217.43255813953488
3680	male female friendship	138	44492	322.40579710144925
3687	man and woman	728	408796	561.532967032967
3688	man as head of household	260	188119	723.5346153846153
3693	man shall not lay with man	69	4756	68.92753623188406
3703	manhood	140	17986	128.47142857142856
3704	manipulation	164	21607	131.75
3714	marijuana	122	18969	155.48360655737704
3719	marital sex	40	2946	73.65
3721	mark of the beast	404	175443	434.26485148514854
3724	marriage	314	65982	210.13375796178343
3725	marriage after death	144	8335	57.88194444444444
3728	marriage and divorce	114	6387	56.026315789473685
3729	marriage and family	423	160896	380.36879432624113
3744	marriage reconciliation	206	98683	479.04368932038835
3748	marriage vows	56	3426	61.17857142857143
3756	marrying a divorced woman	418	218076	521.7129186602871
3773	mary magdalene	119	9464	79.52941176470588
3775	mary the mother of jesus	135	9854	72.99259259259259
3781	masturbation	208	15779	75.86057692307692
3782	material possessions	132	7814	59.196969696969695
3783	material things	125	6901	55.208
3785	materialism	168	9578	57.01190476190476
3805	medicine	223	44453	199.34080717488789
3809	meditation	295	116003	393.23050847457625
3810	medium	320	281004	878.1375
3813	meekness	120	6675	55.625
3820	memorizing scripture	348	143315	411.82471264367814
3826	men and long hair	238	35164	147.74789915966386
3833	men wearing dresses	140	35218	251.55714285714285
3836	men working	301	42788	142.15282392026577
3839	menstruation	136	20347	149.61029411764707
3840	mental abuse	146	12313	84.33561643835617
3842	mental health	133	9351	70.30827067669173
3843	mental illness	117	11984	102.42735042735043
3846	mentoring	93	5199	55.903225806451616
3849	mercy	197	11910	60.45685279187817
3876	ministering	147	27313	185.80272108843536
3898	missionary work	98	5490	56.02040816326531
3899	missions	166	37816	227.80722891566265
3907	mixed races	141	22184	157.33333333333334
3920	modesty	129	40252	312.031007751938
3925	monarchy	194	19296	99.4639175257732
3926	money	646	442752	685.374613003096
3939	moon	204	71868	352.29411764705884
3942	morality	482	125013	259.3630705394191
3943	morals	417	171160	410.4556354916067
3949	morning prayer	145	8330	57.44827586206897
3961	mothers	227	38769	170.78854625550662
3965	mothers day	166	29625	178.46385542168676
3966	mothers love	179	19670	109.88826815642459
3969	motivation	102	5891	57.754901960784316
3970	motives	37	2197	59.37837837837838
3978	moving away	230	53110	230.91304347826087
3979	moving forward	181	109753	606.3701657458563
3989	multiple wives	65	3841	59.09230769230769
3991	murder	316	54116	171.25316455696202
3996	music	309	74730	241.84466019417476
4006	mustard seed	147	67366	458.2721088435374
4007	my brothers keeper	100	6323	63.23
4018	nagging wife	90	5554	61.71111111111111
4026	name of jesus	359	23181	64.57103064066852
4031	naomi	160	25055	156.59375
4032	narcissism	131	7743	59.10687022900763
4033	nation eagle	13	853	65.61538461538461
4039	nature	265	40215	151.75471698113208
4055	negative thinking	102	6714	65.82352941176471
4060	neighbors	205	13660	66.63414634146342
4061	nephilim	155	8637	55.72258064516129
4063	nervousness	182	39769	218.51098901098902
4065	never give up	99	8630	87.17171717171718
4066	never giving up	169	10278	60.81656804733728
4073	new beginnings	198	41496	209.57575757575756
4075	new covenant	230	15427	67.07391304347826
4077	new creation in christ	132	7478	56.65151515151515
4081	new life	593	100097	168.79763912310287
4087	new things	321	76776	239.17757009345794
4089	new year	218	32575	149.42660550458714
4092	newborn baby	301	169494	563.1029900332226
4101	no one is perfect	175	12194	69.68
4104	noah	123	7711	62.6910569105691
4108	non believers	330	113080	342.6666666666667
4111	nose piercings	6	677	112.83333333333333
4123	not of this world	103	6100	59.22330097087379
4131	nuclear war	154	11046	71.72727272727273
4142	obedience	337	25249	74.92284866468843
4143	obedience to god	379	97340	256.8337730870712
4146	obesity	57	4105	72.01754385964912
4149	obeying authority	388	195712	504.41237113402065
4153	obeying parents	33	2162	65.51515151515152
4154	obeying the law	217	14498	66.8110599078341
4156	obeying your parents	156	13895	89.07051282051282
4162	occult	156	20829	133.51923076923077
4163	ocd	100	7597	75.97
4170	offense	171	54042	316.03508771929825
4172	offering	302	75787	250.9503311258278
4176	old age	131	11829	90.29770992366412
4181	omnipotence	1023	512408	500.8875855327468
4182	omnipresence	585	318541	544.5145299145299
4183	omniscience	227	14044	61.86784140969163
4187	once saved always saved	214	14243	66.55607476635514
4189	one god	521	99284	190.56429942418427
4193	only god can judge	308	60901	197.7305194805195
4222	orphans	82	6125	74.6951219512195
4225	other gods	278	74228	267.0071942446043
4226	other religions	183	10319	56.387978142076506
4230	our appearance	39	2324	59.58974358974359
4245	our purpose	109	7413	68.0091743119266
4249	our speech	157	16444	104.73885350318471
4251	our tongue	102	6639	65.08823529411765
4254	our worth to god	140	13714	97.95714285714286
4265	overcoming disappointment	84	6288	74.85714285714286
4269	overcoming insecurity	75	8410	112.13333333333334
4272	overcoming temptation	244	108058	442.8606557377049
4273	overcoming the world	188	18379	97.76063829787235
4284	pain	99	5688	57.45454545454545
4285	pain and hurt	107	6106	57.06542056074766
4288	palm reader	28	1707	60.964285714285715
4289	palm readers	25	1624	64.96
4290	palm reading	209	23679	113.29665071770334
4291	palm sunday	110	10661	96.91818181818182
4292	palmistry	38	2229	58.6578947368421
4294	panic attacks	118	9837	83.36440677966101
4295	pants	13	956	73.53846153846153
4298	paradise	46	2594	56.391304347826086
4300	paranormal	36	2059	57.19444444444444
4303	pardons	35	1926	55.02857142857143
4304	parent	37	2079	56.189189189189186
4306	parent child relationship	107	8026	75.00934579439253
4311	parenting	173	36763	212.5028901734104
4312	parents	119	6568	55.19327731092437
4313	parents and children	161	53203	330.45341614906835
4318	partiality	163	49845	305.79754601226995
4325	passion	222	67423	303.7072072072072
4334	pastor appreciation	138	16649	120.64492753623189
4338	pastors	125	8843	70.744
4342	path	176	39603	225.01704545454547
4343	patience	336	186356	554.6309523809524
4347	paul	151	13283	87.96688741721854
4354	paying debt	99	6104	61.656565656565654
4360	paying tithes	141	9141	64.82978723404256
4362	peace	247	60945	246.7408906882591
4367	peace of mind	245	126324	515.6081632653061
4368	peace on earth	174	10257	58.94827586206897
4372	pearls	157	32309	205.78980891719746
4374	peer pressure	112	7417	66.22321428571429
4378	pentecost	157	49303	314.03184713375794
4382	people hurting you	199	86986	437.11557788944725
4388	people taking advantage of you	175	13371	76.40571428571428
4403	persecution	362	54501	150.55524861878453
4406	perseverance	304	56707	186.53618421052633
4413	personal responsibility	89	5914	66.4494382022472
4416	personality	262	56226	214.6030534351145
4419	pestilence	118	19462	164.9322033898305
4421	pets	93	5424	58.32258064516129
4438	physical exercise	114	18707	164.09649122807016
4439	physical fitness	122	6941	56.89344262295082
4442	physical health	66	3682	55.78787878787879
4466	plans for the future	100	5790	57.9
4479	pleasing god	334	153465	459.4760479041916
4480	pleasing god rather than people	139	13820	99.42446043165468
4492	poker	43	2912	67.72093023255815
4494	police	189	51065	270.18518518518516
4497	politics	206	14902	72.33980582524272
4499	pollution	36	2214	61.5
4500	polygamy	128	42579	332.6484375
4502	poor	181	14678	81.0939226519337
4508	pornography	210	57531	273.95714285714286
4513	positive thinking	139	21949	157.9064748201439
4523	power	220	15374	69.88181818181818
4527	power of the tongue	105	5813	55.36190476190476
4528	power of the word	286	58514	204.5944055944056
4529	power of words	761	711287	934.6741130091984
4535	praise and worship	373	40820	109.43699731903486
4537	praise dancing	266	60341	226.84586466165413
4542	praising god	311	26830	86.27009646302251
4546	pray without ceasing	106	9115	85.99056603773585
4547	prayer	339	215345	635.23598820059
4550	prayer for healing	136	18198	133.80882352941177
4557	praying for a mate	47	3088	65.70212765957447
4559	praying for each other	194	15199	78.34536082474227
4560	praying for government	118	9635	81.65254237288136
4561	praying for others	153	10861	70.98692810457516
4562	praying for the dead	96	5304	55.25
4563	praying for the lost	148	9823	66.37162162162163
4567	praying in public	281	41396	147.3167259786477
4578	praying together	103	7930	76.99029126213593
4587	predestination	203	13097	64.51724137931035
4591	prefer one another	247	48854	197.78947368421052
4601	premarital sex	144	15889	110.34027777777777
4605	preparation	187	32632	174.50267379679144
4615	pressure	185	27233	147.2054054054054
4617	preventing conflict	189	10431	55.19047619047619
4619	pride	658	503224	764.7781155015198
4630	prisoners	183	10856	59.322404371584696
4631	privacy	210	51908	247.1809523809524
4632	problem solving	74	4177	56.445945945945944
4637	procrastination	159	10337	65.0125786163522
4643	profit	162	24616	151.9506172839506
4651	promises of god	629	281522	447.57074721780606
4661	prophet muhammad	207	73818	356.60869565217394
4663	prophets	369	84513	229.03252032520325
4668	prosperity	245	54146	221.00408163265305
4675	protecting children	139	53111	382.0935251798561
4677	protecting israel	269	81601	303.34944237918216
4680	protection	140	7779	55.56428571428572
4681	protection from evil	261	42735	163.73563218390805
4704	psychic	191	15207	79.61780104712042
4716	punishment	250	29995	119.98
4719	punishment for stealing	13	853	65.61538461538461
4724	purity	262	19749	75.37786259541984
4727	purpose in life	259	34350	132.62548262548262
4732	pursuing a woman	140	59319	423.70714285714286
4733	putting god first	109	30869	283.20183486238534
4736	pyramids	17	7417	436.29411764705884
4738	qualifications of elders	117	7152	61.12820512820513
4743	quarrel	36	2170	60.27777777777778
4746	quarrelsome	39	2240	57.43589743589744
4753	quick money	30	2222	74.06666666666666
4754	quick temper	49	5019	102.42857142857143
4755	quick to listen and slow to speak	118	6999	59.313559322033896
4756	quiet	38	2391	62.921052631578945
4757	quiet time	54	3169	58.68518518518518
4761	quitting	274	55085	201.04014598540147
4766	races	30	1922	64.06666666666666
4767	races mixing	28	1706	60.92857142857143
4770	racial equality	102	6396	62.705882352941174
4771	racism	234	129376	552.8888888888889
4772	racism and slavery	32	1839	57.46875
4775	rage	56	4097	73.16071428571429
4777	rain	123	10545	85.73170731707317
4778	rainbow	123	9132	74.2439024390244
4779	rainbow covenant	13	841	64.6923076923077
4781	raising a child	29	2253	77.6896551724138
4782	raising children	163	20544	126.03680981595092
4783	raising hands	38	3301	86.86842105263158
4784	raising teenagers	47	2653	56.4468085106383
4792	rape	313	67702	216.3003194888179
4793	rapist	124	22225	179.23387096774192
4796	reading gods word	295	131194	444.72542372881355
4802	real love	128	96986	757.703125
4807	reaping	537	132977	247.6294227188082
4808	reaping what you sow	234	55023	235.14102564102564
4815	rebuilding	171	50726	296.6432748538012
4823	reconciliation	157	9821	62.554140127388536
4824	recovery	164	35877	218.7621951219512
4828	redemption	278	58954	212.06474820143885
4830	refiners fire	284	159876	562.943661971831
4843	rejection	127	14716	115.8740157480315
4849	relationship with god	469	158528	338.0127931769723
4850	relationships	303	146321	482.9075907590759
4865	religious hypocrites	187	35599	190.36898395721926
4867	rely on god	124	8350	67.33870967741936
4874	remarrying an ex spouse	173	57534	332.5664739884393
4881	removing sin	573	182758	318.94938917975566
4883	renewal	200	99300	496.5
4887	renewing your mind	116	17032	146.82758620689654
4892	repent	181	18218	100.65193370165746
4893	repentance	630	524341	832.2873015873016
4897	repetitive sin 	58	3239	55.8448275862069
4901	reputation	284	113256	398.7887323943662
4904	research	190	79027	415.9315789473684
4905	resentment	121	37143	306.9669421487603
4909	resolving conflict	156	16852	108.02564102564102
4911	respect	142	13475	94.8943661971831
4918	respecting elders	206	38886	188.76699029126215
4926	respecting your parents	289	128212	443.6401384083045
4928	responsibility	248	134395	541.9153225806451
4932	rest	385	198656	515.9896103896103
4935	restoration	172	32854	191.01162790697674
4939	resurrection	228	17099	74.99561403508773
4941	retirement	70	4123	58.9
4943	retribution	245	68914	281.28163265306125
4951	revenge	195	15511	79.54358974358975
4952	reverence	266	32279	121.34962406015038
4955	revival	116	9276	79.96551724137932
4963	rich people	285	32356	113.52982456140352
4967	right and wrong	106	6271	59.160377358490564
4969	righteous	287	17465	60.853658536585364
4972	righteousness of god	198	15037	75.94444444444444
4977	risk taking	107	32064	299.66355140186914
4985	rock	117	14297	122.19658119658119
4999	rude	137	30922	225.7080291970803
5009	running the race	124	11026	88.91935483870968
5011	ruth	138	11387	82.51449275362319
5013	sabbath	218	17322	79.45871559633028
5015	sacrament of marriage	46	2604	56.608695652173914
5016	sacrifice	292	77855	266.6267123287671
5017	sacrifice yourself	44	2581	58.65909090909091
5022	sadness	148	11682	78.93243243243244
5023	safe	165	11385	69.0
5026	salary	38	2242	59.0
5028	salt	88	6315	71.76136363636364
5029	salvation	319	30320	95.04702194357367
5031	same-sex marriage	197	30630	155.48223350253807
5032	samson	136	31563	232.0808823529412
5035	sanctification	117	10013	85.58119658119658
5036	sand	35	2569	73.4
5045	satan	209	18627	89.1244019138756
5046	satan and a third of angels caste out of heaven	192	72514	377.6770833333333
5052	satisfaction	190	46765	246.1315789473684
5069	science	253	67164	265.4703557312253
5079	seasons	218	16639	76.3256880733945
5081	second coming	161	19139	118.87577639751552
5104	seeking god	441	87437	198.26984126984127
5117	self confidence	163	21377	131.14723926380367
5119	self defense	182	106264	583.8681318681319
5121	self destruction	120	7335	61.125
5123	self discipline	135	10912	80.82962962962964
5129	self harm	181	25122	138.79558011049724
5136	self mutilation	35	1937	55.34285714285714
5138	self respect	174	12951	74.43103448275862
5144	self worth	182	15937	87.56593406593407
5145	self-control	239	31910	133.51464435146443
5149	self-esteem	160	21435	133.96875
5159	selfishness	148	12057	81.46621621621621
5162	selflessness	200	43464	217.32
5189	service	109	6120	56.14678899082569
5193	serving god	135	12037	89.16296296296296
5198	serving others	255	35513	139.26666666666668
5201	serving the poor	211	23365	110.73459715639811
5205	setting goals	100	6885	68.85
5211	sex	135	18930	140.22222222222223
5224	sexual immorality	341	79465	233.03519061583577
5226	sexual purity	115	10490	91.21739130434783
5227	sexual sin	178	11043	62.03932584269663
5237	sharing with others	532	206878	388.86842105263156
5239	shaving	200	32658	163.29
5254	shouting	120	29070	242.25
5258	shrimp	3	384	128.0
5264	sibling rivalry	29	1720	59.310344827586206
5267	sick child	29	1656	57.10344827586207
5270	sickness	205	14453	70.50243902439024
5273	signs	306	87926	287.33986928104576
5274	signs and wonders	481	185557	385.7733887733888
5275	signs of the end times	471	300987	639.0382165605096
5285	sin	312	32203	103.21474358974359
5288	sincerity	128	39500	308.59375
5291	singing	228	20056	87.96491228070175
5305	sins of the father	185	15787	85.33513513513513
5314	slander	141	11872	84.19858156028369
5317	slavery	548	496198	905.470802919708
5319	sleep	150	61846	412.3066666666667
5328	small things	161	48955	304.06832298136646
5330	smile	147	24049	163.59863945578232
5331	smiling	2	209	104.5
5334	smoking cigarettes	100	5760	57.6
5335	smoking marijuana	88	5426	61.65909090909091
5336	smoking pot	29	2444	84.27586206896552
5340	snow	137	48119	351.2335766423358
5343	sober minded	218	22512	103.26605504587155
5347	social justice	109	16807	154.19266055045873
5351	sodom	130	10168	78.21538461538462
5352	sodomy	480	481264	1002.6333333333333
5391	sovereignty	290	109842	378.7655172413793
5396	sowing discord	134	9593	71.58955223880596
5397	sowing seeds	270	45336	167.9111111111111
5402	spanking children	50	2817	56.34
5405	sparrows	168	69268	412.3095238095238
5411	speaking in tongues	137	13112	95.7080291970803
5412	speaking the truth in love	593	378282	637.9123102866779
5413	speaking things into existence	338	204689	605.5887573964498
5422	spending money	352	133935	380.49715909090907
5429	spirit of fear	138	9424	68.28985507246377
5438	spiritual authority	140	10400	74.28571428571429
5439	spiritual blindness	805	286932	356.43726708074536
5445	spiritual gifts	139	9772	70.3021582733813
5446	spiritual growth	495	266291	537.9616161616161
5455	spiritual warfare	209	24665	118.01435406698565
5462	sports	240	19312	80.46666666666667
5468	spreading the gospel	182	14664	80.57142857142857
5481	stars	154	25022	162.4805194805195
5489	staying focus	152	19570	128.75
5498	stealing	193	21154	109.60621761658031
5507	stereotypes	14	1018	72.71428571428571
5511	stewardship	157	11813	75.24203821656052
5512	stewardship of gods creation	225	18872	83.87555555555555
5522	storms	128	8477	66.2265625
5523	strangers	470	277191	589.768085106383
5526	strength	395	196040	496.30379746835445
5530	strengthening our relationship with jesus	421	120561	286.3681710213777
5532	stress	100	9009	90.09
5533	strife	165	11605	70.33333333333333
5541	strong foundation	160	13642	85.2625
5545	struggle	201	85618	425.96019900497515
5554	studying the bible	87	5845	67.183908045977
5557	submission to authority	348	90575	260.27298850574715
5558	submission to god	751	308297	410.51531291611184
5566	substance abuse	143	30078	210.33566433566435
5567	success	119	9396	78.95798319327731
5569	suffering	541	203819	376.74491682070243
5572	suicide	231	21984	95.16883116883118
5589	supernatural	174	41424	238.06896551724137
5598	surrender	120	7255	60.458333333333336
5600	surrogacy	119	15988	134.35294117647058
5603	swear words	200	13466	67.33
5605	swearing and cursing	148	10614	71.71621621621621
5615	tabitha	11	732	66.54545454545455
5616	tabor	14	911	65.07142857142857
5621	taking action	139	10069	72.43884892086331
5623	taking care of animals	39	2590	66.41025641025641
5625	taking care of elderly parents	39	2192	56.205128205128204
5626	taking care of elders	28	1943	69.39285714285714
5627	taking care of family	39	2232	57.23076923076923
5630	taking care of older people	29	1933	66.65517241379311
5633	taking care of poor	32	2071	64.71875
5634	taking care of siblings	33	1876	56.84848484848485
5635	taking care of the earth	116	10046	86.60344827586206
5636	taking care of the elderly	115	8740	76.0
5638	taking care of widows	14	835	59.642857142857146
5641	taking care of your body	105	6286	59.86666666666667
5646	taking care of yourself	187	114706	613.4010695187166
5667	talking too much	106	10550	99.52830188679245
5669	tame your tongue	118	9038	76.59322033898304
5670	taming your tongue	212	37602	177.3679245283019
5673	tarot cards	164	60736	370.3414634146341
5681	tattoos	25	2519	100.76
5695	teachers	150	15099	100.66
5698	teaching children	186	12971	69.73655913978494
5705	teamwork	105	11440	108.95238095238095
5706	tears	192	25251	131.515625
5708	technology	152	32907	216.4934210526316
5718	telling the truth	441	329207	746.5011337868481
5726	temptation	100	8071	80.71
5737	testimony	136	7666	56.36764705882353
5738	testing	148	10565	71.38513513513513
5743	thankfulness	193	25641	132.85492227979276
5744	thanking god	100	6529	65.29
5746	thanksgiving	239	91153	381.39330543933056
5753	the angel of death	368	65017	176.6766304347826
5757	the antichrist	191	14620	76.54450261780104
5772	the blood covenant	215	12409	57.716279069767445
5780	the bride of christ	222	14511	65.36486486486487
5805	the death penalty	328	46429	141.5518292682927
5815	the end	342	122164	357.2046783625731
5819	the end of time	214	20148	94.14953271028037
5824	the environment	155	37424	241.44516129032257
5825	the euphrates river	142	81288	572.4507042253521
5835	the flag	210	13448	64.03809523809524
5854	the heart of man	218	12990	59.58715596330275
5858	the holy spirit	238	24472	102.82352941176471
5865	the immortal soul	226	35266	156.04424778761063
5867	the importance of prayer	186	10648	57.24731182795699
5882	the laws of the land	232	50311	216.85775862068965
5886	the lords prayer	190	23968	126.14736842105263
5887	the lords supper	131	7406	56.534351145038165
5898	the meaning of life	813	233135	286.7589175891759
5906	the millennium	88	6666	75.75
5909	the moon	259	230430	889.6911196911196
5936	the ocean	281	158532	564.170818505338
5942	the plans god has for us	264	32494	123.08333333333333
5946	the power of prayer	270	34957	129.47037037037038
5954	the rapture	267	33488	125.42322097378278
5957	the red moon	415	254995	614.4457831325301
5962	the role of the man	108	6705	62.083333333333336
5968	the sabbath day	179	13294	74.26815642458101
5975	the second coming of jesus	223	23478	105.28251121076234
5996	the sword of the spirit	358	106789	298.2932960893855
6001	the tongue	167	23769	142.32934131736528
6004	the trinity	146	9049	61.97945205479452
6009	the unexpected	110	9747	88.60909090909091
6021	the way we dress	81	4781	59.02469135802469
6040	theft	13	1146	88.15384615384616
6042	theology	163	26268	161.15337423312883
6047	thieves	227	89920	396.12334801762114
6050	thinking	231	41820	181.03896103896105
6057	those who hurt children	169	11252	66.57988165680473
6058	thou shalt not kill	353	107047	303.24929178470256
6061	thoughts and the mind	183	32081	175.30601092896174
6062	thoughts of suicide	39	3152	80.82051282051282
6073	time	149	12336	82.79194630872483
6075	time management	126	9415	74.72222222222223
6088	tithe in the new testament	151	12995	86.05960264900662
6090	tithes and offering	462	135885	294.1233766233766
6105	tolerance	187	24096	128.85561497326202
6108	tongue	379	66244	174.7862796833773
6130	training	222	37748	170.03603603603602
6135	transformation	132	8860	67.12121212121212
6138	transition	299	42612	142.51505016722408
6148	treating foreigners	148	15090	101.95945945945945
6157	trespassing	607	421137	693.8006589785832
6160	trials and tribulations	251	53763	214.19521912350598
6172	trouble in life	121	6714	55.48760330578512
6184	true love waits	40	2594	64.85
6187	true religion is	98	5491	56.03061224489796
6188	true worship	370	220829	596.8351351351351
6190	trust	285	28872	101.30526315789474
6195	trust no man	251	16322	65.02788844621514
6199	trusting god	280	45423	162.225
6206	trusting people	100	5581	55.81
6209	truth	178	15079	84.71348314606742
6212	truthfulness	138	9384	68.0
6219	turning away from god	120	6769	56.40833333333333
6222	turning it over to god	40	2288	57.2
6226	twins	132	28489	215.82575757575756
6230	ugly	33	1823	55.24242424242424
6233	ultimate sacrifice	32	2105	65.78125
6234	unanswered prayer	196	13115	66.91326530612245
6235	unbelief	178	37942	213.1573033707865
6238	uncertainty	117	7581	64.7948717948718
6243	unclean thoughts	34	1968	57.88235294117647
6245	unconditional love	386	64884	168.09326424870466
6246	underage drinking	37	2159	58.351351351351354
6248	understanding	211	12616	59.791469194312796
6250	understanding your beliefs	35	1997	57.05714285714286
6255	unfaithful	119	15173	127.50420168067227
6261	ungratefulness	191	24384	127.66492146596859
6271	unity	284	87974	309.7676056338028
6273	unity in the church	173	16692	96.48554913294798
6282	unruly children	187	17402	93.05882352941177
6296	using bad language	100	8709	87.09
6297	using profanity	253	36538	144.4189723320158
6298	using talents	183	10984	60.021857923497265
6299	using your time wisely	34	2231	65.61764705882354
6300	usury	214	67472	315.2897196261682
6303	vaccinations	185	34468	186.31351351351353
6305	valentine	35	2040	58.285714285714285
6309	valley of the dragons	26	1435	55.19230769230769
6312	vampires	102	7109	69.69607843137256
6314	vanity	313	31615	101.00638977635782
6317	vegetables	20	1469	73.45
6318	vegetarian	26	1438	55.30769230769231
6320	vegetarians	27	1578	58.44444444444444
6323	vengeance	112	7328	65.42857142857143
6324	verbal abuse	149	10891	73.09395973154362
6329	victory	123	7809	63.48780487804878
6330	victory in christ 	100	6851	68.51
6332	vindictiveness	162	17681	109.14197530864197
6335	violence	148	9202	62.17567567567568
6344	vision	101	7460	73.86138613861387
6350	volunteering	25	2292	91.68
6352	voting	299	38284	128.0401337792642
6354	vows	124	6831	55.08870967741935
6358	wages	76	5054	66.5
6360	wait	42	2648	63.04761904761905
6361	waiting	223	48984	219.65919282511211
6362	waiting on god	128	16107	125.8359375
6363	waiting on the lord	129	9603	74.44186046511628
6364	waiting to speak	28	1849	66.03571428571429
6367	walk	39	2402	61.58974358974359
6368	walking	35	2002	57.2
6371	walking in the spirit	278	31588	113.62589928057554
6373	walking upright	46	2536	55.130434782608695
6374	walking with god	170	14190	83.47058823529412
6375	walking with jesus	267	63682	238.50936329588015
6378	wanting more	35	1993	56.94285714285714
6380	wanting to get married	38	2209	58.13157894736842
6381	war	161	12112	75.22981366459628
6388	warriors	239	113528	475.01255230125525
6401	watching tv	207	12969	62.65217391304348
6407	water	455	240067	527.6197802197802
6408	water baptism	379	166660	439.73614775725594
6419	weariness	113	13259	117.33628318584071
6424	wearing jewelry	115	8457	73.5391304347826
6425	wearing makeup	85	5808	68.32941176470588
6429	weary	124	7282	58.725806451612904
6432	weather in the last days	204	13607	66.70098039215686
6444	weight loss	50	3748	74.96
6449	welfare	141	24821	176.03546099290782
6461	what happens when you die	116	8407	72.47413793103448
6467	what jesus looked like	239	55652	232.85355648535565
6492	who am i in christ	388	78233	201.63144329896906
6495	who goes to heaven	544	127411	234.21139705882354
6516	widows and orphans	208	66771	321.0144230769231
6518	wife	329	150062	456.11550151975683
6519	wife submit to your husband	192	13960	72.70833333333333
6525	will of god	557	115089	206.6229802513465
6543	wisdom	393	59073	150.31297709923663
6547	wise counsel	237	48707	205.51476793248946
6551	witch	114	6435	56.44736842105263
6552	witchcraft	179	24042	134.31284916201116
6553	witches	191	19708	103.18324607329843
6573	womb	131	7436	56.76335877862596
6574	women	328	66865	203.85670731707316
6588	women preaching the gospel	155	9439	60.89677419354839
6595	wonderfully made	103	6597	64.04854368932038
6598	word of god	505	175784	348.0871287128713
6603	words of my mouth	312	80542	258.1474358974359
6604	work	191	30529	159.83769633507853
6608	work ethic	221	28455	128.7556561085973
6620	working together	184	17526	95.25
6634	worldly things	173	12074	69.79190751445087
6639	worry	167	32147	192.49700598802394
6641	worry and stress	107	8440	78.8785046728972
6644	worship	493	308592	625.947261663286
6647	worship of false gods	153	27713	181.13071895424838
6660	wrath of god	206	12777	62.02427184466019
6664	ww3	237	25603	108.0295358649789
6666	yeast	22	1718	78.0909090909091
6672	yoke	227	68153	300.23348017621146
6673	yoked	21	1212	57.714285714285715
6676	young	31	2046	66.0
6680	young marriage	37	2041	55.16216216216216
